id,first_name,last_name,password,email,role,gender,birthdate,user_school_id,school_id,grade
0,Sam,Bobrick,org_admin,Bobrick@bayside.demo,district-administrator,,,18400,,
1,Michael,Poryes,org_admin,Poryes@bayside.demo,district-administrator,,,18401,,
2,Susan,Sherman,org_admin,Sherman@bayside.demo,district-administrator,,,18402,,
3,Richard,Belding,site_admin,Belding@bayside.demo,administrator,,,18403,0.0,
4,Wesley,Lawler,site_admin,Lawler@bayside.demo,administrator,,,18404,1.0,
5,Matthew,Perkins,site_admin,Perkins@bayside.demo,administrator,,,18405,2.0,
6,Patrick,Dewey,teacher,Dewey@bayside.demo,teacher,,,18406,0.0,
7,Carrie,Bliss,teacher,Bliss@bayside.demo,teacher,,,18407,0.0,
8,Maris,Culpepper,teacher,Culpepper@bayside.demo,teacher,,,18408,0.0,
9,Avery,Mertz,teacher,Mertz@bayside.demo,teacher,,,18409,0.0,
10,Zack,Morris,student,Morris@bayside.demo,student,male,2009-11-07,18410,0.0,11.0
11,Kelly,Kapowski,student,Kapowski@bayside.demo,student,female,2009-05-15,18411,0.0,11.0
12,Samuel,Powers,student,Powers@bayside.demo,student,male,2008-10-11,18412,0.0,11.0
13,Jessie,Spano,student,Spano@bayside.demo,student,female,2009-08-22,18413,0.0,11.0
14,Lisa,Turtle,student,Turtle@bayside.demo,student,female,2008-02-14,18414,0.0,11.0
15,Albert Clifford,Slater,student,Slater@bayside.demo,student,male,2008-04-29,18415,0.0,11.0
16,Tori,Scott,student,Scott@bayside.demo,student,female,2008-07-06,18416,0.0,11.0
17,Violet,Bickerstaff,student,Bickerstaff@bayside.demo,student,female,2009-01-18,18417,0.0,11.0
18,Moose,Clayman,student,Clayman@bayside.demo,student,male,2009-11-07,18418,0.0,11.0
19,Stacey,Carosi,student,Carosi@bayside.demo,student,female,2009-05-15,18419,0.0,11.0
20,Ox,Fromin,student,Fromin@bayside.demo,student,male,2008-07-06,18420,0.0,11.0
21,Ginger,Wilson,student,Wilson@bayside.demo,student,female,2009-06-30,18421,0.0,11.0
22,Rhonda,Robistelli,student,Robistelli@bayside.demo,student,female,2009-05-15,18422,0.0,11.0
23,Louise,Lyon,student,Lyon@bayside.demo,student,female,2009-08-22,18423,0.0,11.0
24,Pete,Stonebreaker,student,Stonebreaker@bayside.demo,student,male,2009-03-25,18424,0.0,11.0
25,Maxwell,Nerdstrom,student,Nerdstrom@bayside.demo,student,male,2008-02-14,18425,0.0,11.0
26,Penny,Belding,student,Beldingp@bayside.demo,student,female,2008-04-29,18426,0.0,11.0
